employee_id,total_work_day_cnt,total_present,total_absences,total_hours
624,262,237,25,1709.12
990,262,235,27,1682.25
429,262,236,26,1679.37
958,262,235,27,1673.16
738,262,236,26,1672.87
517,262,235,27,1671.77
100,262,234,28,1669.41
789,262,236,26,1666.96
779,262,233,29,1665.81
177,262,235,27,1664.41
563,262,235,27,1663.43
596,262,236,26,1659.91
911,262,234,28,1651.5
507,262,235,27,1650.88
451,262,234,28,1647.96
938,262,233,29,1646.89
449,262,234,28,1641.52
235,262,233,29,1640.82
704,262,232,30,1640.8
431,262,233,29,1640.54
426,262,232,30,1639.64
912,262,233,29,1636.49
150,262,234,28,1632.05
636,262,232,30,1629.61
250,262,232,30,1629.14
872,262,232,30,1627.52
454,262,232,30,1627.48
515,262,232,30,1625.27
302,262,231,31,1613.92
650,262,232,30,1612.1
693,262,229,33,1605.88
275,262,232,30,1600.14
485,262,230,32,1598.13
533,262,228,34,1595.95
241,262,232,30,1595.25
593,262,231,31,1593.81
280,262,229,33,1592.11
146,262,230,32,1589.44
674,262,230,32,1588.77
826,262,228,34,1587.39
580,262,228,34,1581.01
291,262,229,33,1576.18
262,262,228,34,1572.83
578,262,230,32,1572.07
802,262,228,34,1571.66
675,262,227,35,1567.03
122,262,226,36,1567.01
661,262,225,37,1558.52
231,262,226,36,1545.79
457,262,224,38,1543.07
339,262,225,37,1540.6
672,262,225,37,1539.67
998,262,224,38,1539.43
350,262,226,36,1537.82
502,262,226,36,1537.48
528,262,225,37,1536.92
137,262,227,35,1535.18
117,262,224,38,1528.81
370,262,225,37,1527.84
720,262,224,38,1527.73
156,262,225,37,1527
801,262,223,39,1526.35
880,262,225,37,1523.15
143,262,225,37,1519.88
671,262,223,39,1519.37
152,262,224,38,1518.74
375,262,223,39,1515.83
455,262,224,38,1515.62
778,262,222,40,1515.4
963,262,223,39,1509.72
373,262,222,40,1506.1
204,262,224,38,1506.01
852,262,224,38,1497.41
794,262,222,40,1496.15
255,262,221,41,1492.75
632,262,223,39,1491.68
717,262,219,43,1490.6
999,262,224,38,1487.63
233,262,222,40,1477.85
194,262,221,41,1475.78
759,262,220,42,1469.69
950,262,220,42,1467.48
595,262,219,43,1462.71
797,262,220,42,1458.7
541,262,221,41,1457.01
686,262,218,44,1452.45
977,262,216,46,1451.21
145,262,220,42,1450.52
635,262,221,41,1448.86
337,262,217,45,1444.69
769,262,219,43,1439.6
860,262,217,45,1437.36
637,262,219,43,1436.78
783,262,218,44,1431.97
659,262,216,46,1429.73
919,262,216,46,1424.57
923,262,215,47,1421.24
297,262,215,47,1420.35
569,262,214,48,1419.72
239,262,217,45,1419.24
360,262,215,47,1418.59
710,262,216,46,1418.55
334,262,218,44,1417.92
425,262,217,45,1412.77
341,262,218,44,1410.16
928,262,217,45,1409.39
723,262,215,47,1408.46
719,262,218,44,1408.32
253,262,216,46,1407.52
897,262,214,48,1399.52
663,262,216,46,1399.03
879,262,213,49,1396.87
272,262,213,49,1394.46
813,262,214,48,1391.8
155,262,213,49,1391.17
855,262,213,49,1390.93
264,262,216,46,1390.03
948,262,217,45,1386.86
752,262,212,50,1384.99
747,262,214,48,1382.74
731,262,213,49,1380.41
981,262,212,50,1377.08
980,262,214,48,1375.88
565,262,212,50,1374.82
229,262,212,50,1374.17
575,262,212,50,1369.29
551,262,214,48,1367.7
562,262,211,51,1367.32
942,262,211,51,1365.71
737,262,213,49,1358.66
891,262,211,51,1358.46
251,262,211,51,1349.54
512,262,211,51,1349.27
402,262,212,50,1349.22
422,262,211,51,1347.26
591,262,211,51,1344.25
197,262,208,54,1333.88
588,262,209,53,1328.8
309,262,208,54,1327.93
558,262,210,52,1316.45
820,262,206,56,1312.43
513,262,207,55,1309.69
831,262,209,53,1301.04
736,262,206,56,1295.35
472,262,208,54,1294.43
869,262,207,55,1294.03
520,262,205,57,1285.49
344,262,205,57,1284.91
471,262,205,57,1284.65
673,262,204,58,1280.4
856,262,204,58,1269.13
446,262,205,57,1268.71
616,262,203,59,1260.4
320,262,205,57,1257.27
884,262,205,57,1255.77
953,262,201,61,1255.13
430,262,203,59,1249.11
888,262,202,60,1247.47
182,262,204,58,1246.39
986,262,203,59,1245.89
991,262,201,61,1245.87
786,262,203,59,1244.56
108,262,202,60,1240.14
393,262,202,60,1239.83
560,262,202,60,1239.44
519,262,200,62,1234.88
910,262,202,60,1231.94
657,262,199,63,1228.57
728,262,201,61,1225.05
498,262,198,64,1224.33
377,262,201,61,1223.93
111,262,200,62,1217.65
434,262,199,63,1216.3
263,262,199,63,1212.36
983,262,200,62,1212.08
142,262,199,63,1212.06
195,262,201,61,1207.96
216,262,197,65,1207.86
873,262,200,62,1198.35
871,262,200,62,1197.09
753,262,197,65,1195.47
132,262,197,65,1189.93
441,262,199,63,1189.39
941,262,197,65,1169.7
576,262,197,65,1165.12
917,1,1,0,9
929,1,1,0,9
903,1,1,0,8.75
982,1,1,0,8.25
127,1,1,0,7.75
324,1,1,0,7.5
392,1,1,0,7
640,1,1,0,7
768,1,1,0,7
181,1,1,0,6.25
